work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,category_job,employee_continent,company_continent
2024,Senior,Full-time,Business Intelligence Developer,132000,USD,132000,United States,No remote work,United States,50-250,Business Intelligence,North America,North America
2024,Senior,Full-time,Business Intelligence Developer,90000,USD,90000,United States,No remote work,United States,50-250,Business Intelligence,North America,North America
2024,Junior,Full-time,Research Analyst,179000,USD,179000,United States,No remote work,United States,50-250,Data Analysis,North America,North America
2024,Junior,Full-time,Research Analyst,112000,USD,112000,United States,No remote work,United States,50-250,Data Analysis,North America,North America
2024,Senior,Full-time,Decision Scientist,170000,USD,170000,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Decision Scientist,150000,USD,150000,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Intermediate,Full-time,Research Scientist,173000,USD,173000,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Intermediate,Full-time,Research Scientist,117000,USD,117000,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Research Scientist,294000,USD,294000,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Research Scientist,137600,USD,137600,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Research Engineer,252000,USD,252000,United States,No remote work,United States,50-250,Data Engineering,North America,North America
2024,Senior,Full-time,Research Engineer,143000,USD,143000,United States,No remote work,United States,50-250,Data Engineering,North America,North America
2024,Intermediate,Full-time,Data Scientist,109000,USD,109000,United States,Fully remote,United States,50-250,Data Science,North America,North America
2024,Intermediate,Full-time,Data Scientist,93000,USD,93000,United States,Fully remote,United States,50-250,Data Science,North America,North America
2024,Intermediate,Full-time,Data Engineer,91548,USD,91548,United States,Fully remote,United States,50-250,Data Engineering,North America,North America
2024,Intermediate,Full-time,Data Engineer,91548,USD,91548,United States,Fully remote,United States,50-250,Data Engineering,North America,North America
2024,Senior,Full-time,Data Developer,90146,USD,90146,United States,Fully remote,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Developer,90146,USD,90146,United States,Fully remote,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Scientist,235400,USD,235400,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Scientist,209720,USD,209720,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Scientist,235400,USD,235400,United States,Fully remote,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Scientist,178262,USD,178262,United States,Fully remote,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Scientist,282200,USD,282200,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Scientist,133600,USD,133600,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Scientist,234000,USD,234000,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Scientist,146000,USD,146000,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Intermediate,Full-time,Data Scientist,135000,USD,135000,United States,Fully remote,United States,50-250,Data Science,North America,North America
2024,Intermediate,Full-time,Data Scientist,108000,USD,108000,United States,Fully remote,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Scientist,105784,USD,105784,Canada,No remote work,Canada,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Scientist,80290,USD,80290,Canada,No remote work,Canada,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Scientist,185100,USD,185100,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Scientist,111100,USD,111100,United States,No remote work,United States,50-250,Data Science,North America,North America
2024,Senior,Full-time,Data Architect,190000,USD,190000,United States,No remote work,United States,50-250,Data Architecture,North America,North America
2024,Senior,Full-time,Data Architect,105301,USD,105301,United States,No remote work,United States,50-250,Data Architecture,North America,North America
2024,Senior,Full-time,Data Engineer,242000,USD,242000,United States,No remote work,United States,50-250,Data Engineering,North America,North America
2024,Senior,Full-time,Data Engineer,173000,USD,173000,United States,No remote work,United States,50-250,Data Engineering,North America,North America
2024,Senior,Full-time,Data Engineer,279400,USD,279400,United States,No remote work,United States,50-250,Data Engineering,North America,North America
2024,Senior,Full-time,Data Engineer,236474,USD,236474,United States,No remote work,United States,50-250,Data Engineering,North America,North America
2024,Senior,Full-time,Data Engineer,122000,USD,122000,United States,No remote work,United States,50-250,Data Engineering,North America,North America
2024,Senior,Full-time,Data Engineer,94500,USD,94500,United States,No remote work,United States,50-250,Data Engineering,North America,North America
2024,Intermediate,Full-time,Data Engineer,125000,USD,125000,United States,Fully remote,United States,50-250,Data Engineering,North America,North America
2024,Intermediate,Full-time,Data Engineer,97000,USD,97000,United States,Fully remote,United States,50-250,Data Engineering,North America,North America
2024,Senior,Full-time,Data Engineer,157520,USD,157520,Canada,No remote work,Canada,50-250,Data Engineering,North America,North America
2024,Senior,Full-time,Data Engineer,105700,USD,105700,Canada,No remote work,Canada,50-250,Data Engineering,North America,North America
2024,Intermediate,Full-time,Machine Learning Engineer,240240,USD,240240,United States,No remote work,United States,50-250,AI/ML,North America,North America
2024,Intermediate,Full-time,Machine Learning Engineer,235724,USD,235724,United States,No remote work,United States,50-250,AI/ML,North America,North America
2024,Senior,Full-time,Machine Learning Engineer,300200,USD,300200,United States,No remote work,United States,50-250,AI/ML,North America,North America
2024,Senior,Full-time,Machine Learning Engineer,199800,USD,199800,United States,No remote work,United States,50-250,AI/ML,North America,North America
2024,Senior,Full-time,Machine Learning Engineer,115000,USD,115000,United States,No remote work,United States,50-250,AI/ML,North America,North America
2024,Senior,Full-time,Machine Learning Engineer,90000,USD,90000,United States,No remote work,United States,50-250,AI/ML,North America,North America
2024,Senior,Full-time,Analytics Engineer,150000,USD,150000,United States,Fully remote,United States,50-250,Data Engineering,North America,North America
2024,Senior,Full-time,Analytics Engineer,100000,USD,100000,United States,Fully remote,United States,50-250,Data Engineering,North America,North America
